표준버스정류장ID,노선번호,역명,00시승차총승객수,00시하차총승객수,1시승차총승객수,1시하차총승객수,2시승차총승객수,2시하차총승객수,3시승차총승객수,3시하차총승객수,4시승차총승객수,4시하차총승객수,5시승차총승객수,5시하차총승객수
106000211,N26,능산지하차도(00063),0,0,4,40,7,120,2,41,0,0,0,0
106000211,N26,능산지하차도(00131),0,0,0,0,0,0,4,72,42,113,7,37
106000212,N26,능산지하차도(00072),0,0,0,0,94,2,62,2,0,0,0,0
106000212,N26,능산지하차도(00005),11,2,13,4,0,0,0,0,0,0,0,0
106000229,N72,망우동고개(00163),0,0,0,0,0,0,0,0,0,19,3,8
106000229,N72,망우동고개(00077),0,0,2,11,0,32,0,16,0,0,0,0
106000231,N72,망우금호어울림아파트(00092),0,0,0,0,5,0,42,1,0,0,0,0
106000231,N72,망우금호어울림아파트(00008),4,1,1,0,0,0,0,0,0,0,0,0
106000232,N72,망우동금호어울림아파트(00078),0,0,0,5,0,15,0,4,0,0,0,0
106000232,N72,망우동금호어울림아파트(00164),0,0,0,0,0,0,0,0,0,11,12,14
106000233,N72,경남아파트.서울특별시북부병원(00007),2,0,1,0,0,0,0,0,0,0,0,0
106000233,N72,경남아파트(00007),1,0,0,0,0,0,0,0,0,0,0,0
106000233,N72,경남아파트.서울특별시북부병원(00091),0,0,0,0,2,0,0,1,0,0,0,0
106000233,N72,경남아파트(00091),0,0,0,0,2,0,1,0,0,0,0,0
106000234,N72,서울특별시북부병원(00079),0,0,0,6,2,8,1,7,0,0,0,0
106000234,N72,서울특별시북부병원(00165),0,0,0,0,0,0,0,0,1,13,0,25
106000235,N72,양원역입구(00090),0,0,0,0,7,1,7,0,0,0,0,0
106000235,N72,양원역입구(00006),13,1,9,1,0,0,0,0,0,0,0,0
106000236,N72,양원역입구(00166),0,0,0,0,0,0,0,0,0,12,0,14
106000236,N72,양원역입구(00080),0,0,1,12,0,22,0,4,0,0,0,0
106000237,N72,양원리(00081),0,0,0,15,0,45,0,8,0,0,0,0
106000237,N72,양원리(00167),0,0,0,0,0,0,0,0,0,17,0,16
106000238,N72,양원리(00089),0,0,0,0,34,1,29,0,0,0,0,0
106000238,N72,양원리(00005),13,0,4,0,0,0,0,0,0,0,0,0
106000239,N72,동서울교회(00168),0,0,0,0,0,0,0,0,0,7,0,11
106000239,N72,동서울교회(00082),0,0,1,2,1,7,0,6,0,0,0,0
106000240,N72,동서울교회(00088),0,0,0,0,4,0,1,0,0,0,0,0
106000240,N72,동서울교회(00004),0,0,3,0,0,0,0,0,0,0,0,0
106000241,N26,중랑공영차고지(00066),0,0,2,39,0,68,0,30,0,0,0,0
106000241,N26,중랑공영차고지(00134),0,0,0,0,0,0,0,20,0,35,0,28
106000241,N72,중랑공영차고지(00084),0,0,0,2,0,7,0,5,0,0,0,0
106000241,N72,중랑공영차고지(00170),0,0,0,0,0,0,0,0,0,8,0,2
106000319,N72,중랑공영차고지.신내역(00002),13,0,11,0,0,0,0,0,0,0,0,0
106000319,N72,중랑공영차고지.신내역(00086),0,0,1,0,58,4,16,1,0,0,0,0
106000319,N26,중랑공영차고지.신내역(00069),0,0,0,0,60,1,47,3,0,0,0,0
106000325,N61,먹골역5번출구(00018),77,54,67,54,13,12,0,0,0,0,0,0
106000325,N61,먹골역5번출구(00112),0,0,0,0,24,38,93,22,124,4,0,0
106000326,N61,먹골역4번출구(00077),0,0,16,93,27,149,12,51,0,0,0,0
106000326,N61,먹골역4번출구(00171),0,0,0,0,0,0,3,6,28,85,68,69
106000430,N72,금란교회(00162),0,0,0,0,0,0,0,0,0,27,4,73
106000430,N72,금란교회(00076),0,0,6,17,3,36,1,28,0,0,0,0
106000431,N72,금란교회(00010),18,3,8,0,0,0,0,0,0,0,0,0
106000431,N72,금란교회(00094),0,0,0,0,20,3,9,5,0,0,0,0
106000432,N26,우림시장.망우사거리(00062),0,0,6,42,9,130,3,53,0,0,0,0
106000432,N72,우림시장.망우사거리(00075),0,0,11,50,15,85,6,34,0,0,0,0
106000432,N26,우림시장.망우사거리(00130),0,0,0,0,0,0,0,88,9,109,1,45
106000432,N72,우림시장.망우사거리(00161),0,0,0,0,0,0,0,5,10,58,5,25
106000433,N26,우림시장.망우사거리(00006),46,6,59,5,0,0,0,0,0,0,0,0
106000433,N72,우림시장.망우사거리(00011),25,5,37,5,0,0,0,0,0,0,0,0
106000433,N26,우림시장.망우사거리(00073),0,0,0,0,176,3,100,0,0,0,0,0
106000433,N72,우림시장.망우사거리(00095),0,0,0,0,78,10,75,17,7,1,0,0
106000434,N26,망우역.망우지구대(00007),77,6,78,2,0,0,0,0,0,0,0,0
106000434,N72,망우역.망우지구대(00096),0,0,0,0,21,2,22,2,13,0,0,0
106000434,N26,망우역.망우지구대(00074),0,0,0,0,137,4,56,1,0,0,0,0
106000434,N72,망우역.망우지구대(00012),37,2,32,4,0,0,0,0,0,0,0,0
106000435,N72,망우역.망우지구대(00160),0,0,0,0,0,0,1,4,12,40,5,15
106000435,N26,망우역.망우지구대(00061),0,0,5,42,15,126,0,47,0,0,0,0
106000435,N26,망우역.망우지구대(00129),0,0,0,0,0,0,6,95,4,113,4,107
106000442,N72,신내차량사업소입구(00003),5,0,3,0,0,0,0,0,0,0,0,0
106000442,N72,신내차량사업소입구(00087),0,0,0,0,13,1,6,0,0,0,0,0
106000454,N72,신내역1번출구(00169),0,0,0,0,0,0,0,0,0,10,0,12
106000454,N72,신내역1번출구(00083),0,0,0,2,0,19,0,7,0,0,0,0
106000467,N26,중랑공영차고지.신내역(00135),0,0,0,0,0,0,1,34,1,40,0,18
106000467,N26,중랑공영차고지.신내역(00067),0,0,4,24,0,78,1,37,0,0,0,0
106000467,N72,중랑공영차고지.신내역(00171),0,0,0,0,0,0,0,0,0,11,0,6
106000467,N72,중랑공영차고지.신내역(00085),0,0,0,8,0,8,0,15,0,0,0,0
106000470,N72,사가정역(00152),0,0,0,0,0,0,2,16,1,35,16,28
106000470,N72,사가정역(00066),0,0,7,25,1,18,3,11,0,0,0,0
106000470,N72,사가정역3번출구(00066),0,0,4,33,5,30,2,14,0,0,0,0
106000470,N72,사가정역3번출구(00152),0,0,0,0,0,0,2,13,0,61,20,43
