표준버스정류장ID,노선번호,00시승차총승객수,00시하차총승객수,1시승차총승객수,1시하차총승객수,2시승차총승객수,2시하차총승객수,3시승차총승객수,3시하차총승객수,4시승차총승객수,4시하차총승객수,5시승차총승객수,5시하차총승객수,정류소명,X좌표,Y좌표,매칭된지하철역,역과거리(m)
100000368,N37,3,11,93,67,70,53,0,0,0,0,0,0,서대문역사거리.적십자병원,126.9675878497,37.5671081521,시청,786.2080065822905
100000379,N75,46,30,75,52,87,36,0,0,0,0,0,0,서울역사박물관.경희궁앞,126.97076,37.569515,용답,715.8112381100837
100000379,N26,0,0,0,0,17,35,46,65,9,73,0,0,서울역사박물관.경희궁앞,126.97076,37.569515,용답,715.8112381100837
100000379,N75,0,0,0,0,17,12,27,23,11,64,1,16,서울역사박물관.경희궁앞,126.97076,37.569515,용답,715.8112381100837
100000379,N26,16,13,97,62,26,50,0,0,0,0,0,0,서울역사박물관.경희궁앞,126.97076,37.569515,용답,715.8112381100837
100000380,N75,0,0,0,0,14,15,23,58,7,62,0,0,서울역사박물관.경희궁앞,126.97038,37.569135,용답,726.8950589267421
100000380,N75,20,31,20,48,20,36,0,0,0,0,0,0,서울역사박물관.경희궁앞,126.97038,37.569135,용답,726.8950589267421
100000380,N37,127,49,94,62,0,0,0,0,0,0,0,0,서울역사박물관.경희궁앞,126.97038,37.569135,용답,726.8950589267421
100000380,N26,0,0,0,0,9,32,32,90,88,44,0,0,서울역사박물관.경희궁앞,126.97038,37.569135,용답,726.8950589267421
100000380,N37,0,0,0,0,46,76,60,100,0,0,0,0,서울역사박물관.경희궁앞,126.97038,37.569135,용답,726.8950589267421
100000384,N26,0,0,384,67,93,92,0,0,0,0,0,0,광화문,126.976357,37.570142,용답,434.8406371494406
100000384,N26,0,0,0,0,18,12,113,77,72,51,0,0,광화문,126.976357,37.570142,용답,434.8406371494406
100000384,N37,165,103,186,126,0,1,0,0,0,0,0,0,광화문,126.976357,37.570142,용답,434.8406371494406
100000384,N37,0,0,0,0,112,136,65,93,0,2,0,0,광화문,126.976357,37.570142,용답,434.8406371494406
100000385,N26,0,0,0,0,31,9,45,81,10,75,0,0,광화문,126.9778894864,37.570267935,용답,427.97016143277955
100000385,N37,14,9,76,61,58,49,0,0,0,0,0,0,광화문,126.9778894864,37.570267935,용답,427.97016143277955
100000385,N37,0,0,0,0,31,22,59,49,23,11,0,0,광화문,126.9778894864,37.570267935,용답,427.97016143277955
100000385,N26,44,10,154,85,31,38,0,0,0,0,0,0,광화문,126.9778894864,37.570267935,용답,427.97016143277955
100000386,N37,0,0,0,0,35,180,23,209,1,6,0,0,종로1가,126.9810660928,37.5701482455,을지로입구,479.38286785586035
100000386,N26,0,0,0,0,8,12,58,154,50,56,0,0,종로1가,126.9810660928,37.5701482455,을지로입구,479.38286785586035
100000386,N37,85,118,69,220,6,49,0,0,0,0,0,0,종로1가,126.9810660928,37.5701482455,을지로입구,479.38286785586035
100000386,N26,0,0,182,167,70,167,0,0,0,0,0,0,종로1가,126.9810660928,37.5701482455,을지로입구,479.38286785586035
100000387,N37,14,7,110,40,58,28,0,0,0,0,0,0,종로1가,126.98163,37.570271,을지로입구,481.4537285244001
100000387,N26,40,8,189,54,52,20,0,0,0,0,0,0,종로1가,126.98163,37.570271,을지로입구,481.4537285244001
100000387,N26,0,0,0,0,30,22,44,104,16,111,0,0,종로1가,126.98163,37.570271,을지로입구,481.4537285244001
100000387,N37,0,0,0,0,27,20,52,58,11,24,0,0,종로1가,126.98163,37.570271,을지로입구,481.4537285244001
100000388,N15,85,19,656,234,697,133,0,0,0,0,0,0,종로2가,126.984991,37.57017,을지로입구,510.09117717926654
100000388,N15,0,0,0,0,354,67,631,180,291,95,0,0,종로2가,126.984991,37.57017,을지로입구,510.09117717926654
100000388,N31,0,0,0,0,0,0,110,79,149,101,41,34,종로2가,126.984991,37.57017,을지로입구,510.09117717926654
100000388,N37,193,112,291,306,83,117,0,0,0,0,0,0,종로2가,126.984991,37.57017,을지로입구,510.09117717926654
100000388,N31,0,0,300,193,331,179,56,23,0,0,0,0,종로2가,126.984991,37.57017,을지로입구,510.09117717926654
100000388,N26,0,0,0,0,0,4,377,167,251,122,0,0,종로2가,126.984991,37.57017,을지로입구,510.09117717926654
100000388,N62,220,89,573,299,163,103,0,0,0,0,0,0,종로2가,126.984991,37.57017,을지로입구,510.09117717926654
100000388,N37,0,0,0,0,196,198,342,299,34,26,0,0,종로2가,126.984991,37.57017,을지로입구,510.09117717926654
100000388,N62,0,0,0,0,128,99,280,209,92,67,0,0,종로2가,126.984991,37.57017,을지로입구,510.09117717926654
100000388,N26,0,0,514,244,482,262,0,0,0,0,0,0,종로2가,126.984991,37.57017,을지로입구,510.09117717926654
100000389,N15,0,0,0,0,79,105,282,321,90,217,0,0,종로2가,126.986536,37.570238,을지로입구,586.7546308129034
100000389,N15,380,105,419,173,229,158,0,0,0,0,0,0,종로2가,126.986536,37.570238,을지로입구,586.7546308129034
